Image Name,Original name,Stimtype,Task,Sim_Category,Sim_Score,Valence_Category,Valence_Score,Arousal_Category,Arousal_Score,MEMORABILITY,ABBA Encoding Valence score,VALENCE_OVERALL,OVERALL_VALENCE_CATEGORY,Set
2002_B_H,10024c.jpg,Lure,Retrieval,High Similarity,4.846960885,Neutral,4.463140779,Somewhat arousing,5.257847377,0.822508097,,3.939424407,Negative,B
2003_A_H,10028a.jpg,Baseline Lure,Encoding,High Similarity,4.657747541,Neutral,4.306668527,Somewhat arousing,3.622070313,0.918781877,4.679186228,4.555021391,Neutral,A
2003_B_H,10028b.jpg,Lure,Retrieval,High Similarity,4.657747541,Neutral,4.306668527,Somewhat arousing,3.622070313,0.903097808,,4.555021391,Neutral,A
2004_A_H,10046a.jpg,Baseline Lure,Encoding,High Similarity,4.911113194,Neutral,4.084353399,Somewhat arousing,4.946001325,0.776099622,3.383704668,3.585226278,Negative,A
2004_B_H,10046b.jpg,Lure,Retrieval,High Similarity,4.911113194,Neutral,4.084353399,Somewhat arousing,4.946001325,0.80997014,,3.585226278,Negative,A
2006_A_L,128D.jpg,Baseline Lure,Encoding,Low Similarity,4.027023842,Neutral,5.824690194,Somewhat arousing,3.671538254,0.791145563,6.378912363,6.214914656,Positive,B
2006_B_L,128F.jpg,Lure,Retrieval,Low Similarity,4.027023842,Neutral,5.824690194,Somewhat arousing,3.671538254,0.769585788,,6.214914656,Positive,B
2011_A_L,20020a.jpg,Baseline Lure,Encoding,Low Similarity,3.854228428,Neutral,4.636979767,Not arousing,2.562473842,0.779321074,4.484230324,4.530203457,Neutral,B
2011_B_L,20020b.jpg,Lure,Retrieval,Low Similarity,3.854228428,Neutral,4.636979767,Not arousing,2.562473842,0.773274302,,4.530203457,Neutral,B
2014_A_H,20024a.jpg,Baseline Lure,Encoding,High Similarity,4.934759325,Neutral,5.040169571,Not arousing,1.957868304,0.902919292,5.056071697,5.051376783,Neutral,A
2014_B_H,20024b.jpg,Lure,Retrieval,High Similarity,4.934759325,Neutral,5.040169571,Not arousing,1.957868304,0.856999636,,5.051376783,Neutral,A
2015_A_L,20025a.jpg,Baseline Lure,Encoding,Low Similarity,4.018575614,Neutral,4.921019945,Not arousing,2.58694022,0.913636386,5.044945988,5.007647858,Neutral,A
2015_B_L,20025b.jpg,Lure,Retrieval,Low Similarity,4.018575614,Neutral,4.921019945,Not arousing,2.58694022,0.908227563,,5.007647858,Neutral,A
235A.jpg,235A.jpg,Baseline Lure,Encoding,Low Similarity,4.253064386,Neutral,5.027488426,Somewhat arousing,3.464237608,0.761,,,,B
235B.jpg,235B.jpg,Lure,Retrieval,Low Similarity,4.253064386,Neutral,5.027488426,Somewhat arousing,3.464237608,0.717,,,,B
2018_A_L,20028a.jpg,Baseline Lure,Encoding,Low Similarity,2.733809989,Neutral,5.022627448,Not arousing,1.722377232,0.886150658,5.076951952,5.06133206,Neutral,B
2018_B_L,20028b.jpg,Lure,Retrieval,Low Similarity,2.733809989,Neutral,5.022627448,Not arousing,1.722377232,0.879079401,,5.06133206,Neutral,B
2019_A_L,20029a.jpg,Baseline Lure,Encoding,Low Similarity,3.880602155,Neutral,4.604920336,Somewhat arousing,3.165919713,0.765757799,4.495133998,4.529646978,Neutral,B
2019_B_L,20029b.jpg,Lure,Retrieval,Low Similarity,3.880602155,Neutral,4.604920336,Somewhat arousing,3.165919713,0.893167794,,4.529646978,Neutral,B
20022a.jpg,20022a.jpg,Baseline Lure,Encoding,High Similarity,5.125451224,Neutral,4.928152902,Not arousing,2.227015904,0.758,,,,B
20022b.jpg,20022b.jpg,Lure,Retrieval,High Similarity,5.125451224,Neutral,5.928152902,Not arousing,3.227015904,0.672,,,,B
2021_A_H,20032a.jpg,Baseline Lure,Encoding,High Similarity,4.905829293,Neutral,5.10420445,Not arousing,1.884748186,0.891977072,5.374421296,5.287861904,Neutral,B
2021_B_H,20032c.jpg,Lure,Retrieval,High Similarity,4.905829293,Neutral,5.10420445,Not arousing,1.884748186,0.799497008,,5.287861904,Neutral,B
2022_A_L,20033a.jpg,Baseline Lure,Encoding,Low Similarity,4.531738281,Neutral,5.469254032,Not arousing,2.49874442,0.825947285,5.705532407,5.636044974,Neutral,A
2022_B_L,20033c.jpg,Lure,Retrieval,Low Similarity,4.531738281,Neutral,5.469254032,Not arousing,2.49874442,0.706585824,,5.636044974,Neutral,A
2024_A_L,20037a.jpg,Baseline Lure,Encoding,Low Similarity,4.19127982,Neutral,4.545425907,Not arousing,2.53163365,0.676663578,4.277247299,4.367836414,Neutral,A
2024_B_L,20037b.jpg,Lure,Retrieval,Low Similarity,4.19127982,Neutral,4.545425907,Not arousing,2.53163365,0.705702007,,4.367836414,Neutral,A
2026_A_H,20039a.jpg,Baseline Lure,Encoding,High Similarity,4.840578352,Neutral,5.399117606,Not arousing,2.74005127,0.821679056,5.601007909,5.538887816,Neutral,A
2026_B_H,20039c.jpg,Lure,Retrieval,High Similarity,4.840578352,Neutral,5.399117606,Not arousing,2.74005127,0.861656547,,5.538887816,Neutral,A
2027_A_H,20041a.jpg,Baseline Lure,Encoding,High Similarity,4.748383621,Neutral,5.216058828,Not arousing,2.270438058,0.9015342,5.182148973,5.192256718,Neutral,B
2027_B_H,20041c.jpg,Lure,Retrieval,High Similarity,4.748383621,Neutral,5.216058828,Not arousing,2.270438058,0.886041284,,5.192256718,Neutral,B
2028_A_L,20042a.jpg,Baseline Lure,Encoding,Low Similarity,4.475594938,Neutral,5.160509673,Not arousing,2.790988623,0.730688274,5.319591158,5.265340402,Neutral,B
2028_B_L,20042c.jpg,Lure,Retrieval,Low Similarity,4.475594938,Neutral,5.160509673,Not arousing,2.790988623,0.640820801,,5.265340402,Neutral,B
2029_A_L,20043a.jpg,Baseline Lure,Encoding,Low Similarity,3.709771293,Neutral,5.086922782,Not arousing,1.990574428,0.851102114,5.130912162,5.119000673,Neutral,B
2029_B_L,20043b.jpg,Lure,Retrieval,Low Similarity,3.709771293,Neutral,5.086922782,Not arousing,1.990574428,0.78740412,,5.119000673,Neutral,B
2030_A_H,20044a.jpg,Baseline Lure,Encoding,High Similarity,4.655635289,Neutral,4.910548619,Not arousing,2.451625279,0.578129113,5.424596471,5.269412214,Neutral,A
2030_B_H,20044c.jpg,Lure,Retrieval,High Similarity,4.655635289,Neutral,4.910548619,Not arousing,2.451625279,0.847205877,,5.269412214,Neutral,A
2031_A_H,20045a.jpg,Baseline Lure,Encoding,High Similarity,4.633969988,Neutral,5.400849654,Somewhat arousing,3.356183733,0.956764281,5.68433277,5.597231761,Neutral,B
2031_B_H,20045c.jpg,Lure,Retrieval,High Similarity,4.633969988,Neutral,5.400849654,Somewhat arousing,3.356183733,0.906286716,,5.597231761,Neutral,B
2032_A_H,20047a.jpg,Baseline Lure,Encoding,High Similarity,4.994852602,Neutral,5.633972168,Somewhat arousing,3.246442522,0.624082386,5.889915884,5.827110141,Neutral,A
2032_B_H,20047c.jpg,Lure,Retrieval,High Similarity,4.994852602,Neutral,5.633972168,Somewhat arousing,3.246442522,0.691603661,,5.827110141,Neutral,A
2043_A_H,216D.jpg,Baseline Lure,Encoding,High Similarity,4.580322266,Neutral,5.992456897,Somewhat arousing,4.620824353,0.716484547,6.67075723,6.482120584,Positive,A
2043_B_H,216E.jpg,Lure,Retrieval,High Similarity,4.580322266,Neutral,5.992456897,Somewhat arousing,4.620824353,0.806604505,,6.482120584,Positive,A
2056_A_L,30030d.jpg,Baseline Lure,Encoding,Low Similarity,3.894727434,Neutral,5.380650112,Somewhat arousing,3.702174595,0.743557632,5.981972983,5.796376583,Neutral,A
2056_B_L,30030f.jpg,Lure,Retrieval,Low Similarity,3.894727434,Neutral,5.380650112,Somewhat arousing,3.702174595,0.781027734,,5.796376583,Neutral,A
2057_A_L,30040d.jpg,Baseline Lure,Encoding,Low Similarity,3.768505859,Neutral,5.813624791,Somewhat arousing,3.702505929,0.793135285,6.052939498,5.969313103,Neutral,A
2057_B_L,30040f.jpg,Lure,Retrieval,Low Similarity,3.768505859,Neutral,5.813624791,Somewhat arousing,3.702505929,0.74351567,,5.969313103,Neutral,A
2058_A_L,322D.jpg,Baseline Lure,Encoding,Low Similarity,3.740774972,Neutral,4.16078404,Somewhat arousing,5.427943638,0.856901288,4.099580224,4.115236636,Neutral,A
2058_B_L,322F.jpg,Lure,Retrieval,Low Similarity,3.740774972,Neutral,4.16078404,Somewhat arousing,5.427943638,0.736504018,,4.115236636,Neutral,A
2059_A_L,,Baseline Lure,Encoding,Low Similarity,4.564975081,Neutral,4.155960648,Somewhat arousing,4.229189116,0.865046442,4.434785798,4.328293789,Neutral,B
2059_B_L,325E.jpg,Lure,Retrieval,Low Similarity,4.564975081,Neutral,4.155960648,Somewhat arousing,4.229189116,0.848622859,,4.328293789,Neutral,B
3002_A_L,104D.jpg,Baseline Lure,Encoding,Low Similarity,3.968804253,Positive,7.396334135,Somewhat arousing,5.431573276,0.443097651,7.77375,7.665628404,Positive,B
3002_B_L,104E.jpg,Lure,Retrieval,Low Similarity,3.968804253,Positive,7.396334135,Somewhat arousing,5.431573276,0.460292906,,7.665628404,Positive,B
3007_A_H,109D.jpg,Baseline Lure,Encoding,High Similarity,5.053424704,Positive,6.649043642,Somewhat arousing,4.675040409,0.831228793,7.115610329,6.96860604,Positive,A
3007_B_H,109F.jpg,Lure,Retrieval,High Similarity,5.053424704,Positive,6.649043642,Somewhat arousing,4.675040409,0.872273028,,6.96860604,Positive,A
3012_A_H,119D.jpg,Baseline Lure,Encoding,High Similarity,4.785888672,Positive,7.119140625,Somewhat arousing,5.183526401,0.648948073,6.966427365,6.99681432,Positive,B
3012_B_H,119E.jpg,Lure,Retrieval,High Similarity,4.785888672,Positive,7.119140625,Somewhat arousing,5.183526401,0.724329412,,6.99681432,Positive,B
3014_A_L,122D.jpg,Baseline Lure,Encoding,Low Similarity,4.449462891,Positive,6.73747306,Somewhat arousing,5.523504849,0.680491745,7.21993152,7.093550007,Positive,B
3014_B_L,122F.jpg,Lure,Retrieval,Low Similarity,4.449462891,Positive,6.73747306,Somewhat arousing,5.523504849,0.792940259,,7.093550007,Positive,B
3015_A_L,123D.jpg,Baseline Lure,Encoding,Low Similarity,3.900444878,Positive,6.539713542,Somewhat arousing,4.756532866,0.753109038,7.010275901,6.892729184,Positive,A
3015_B_L,123E.jpg,Lure,Retrieval,Low Similarity,3.900444878,Positive,6.539713542,Somewhat arousing,4.756532866,0.798033416,,6.892729184,Positive,A
3016_A_H,124D.jpg,Baseline Lure,Encoding,High Similarity,5.432128906,Positive,7.643790409,Somewhat arousing,5.72265625,0.666534364,7.601388889,7.617828208,Positive,B
3016_B_H,124E.jpg,Lure,Retrieval,High Similarity,5.432128906,Positive,7.643790409,Somewhat arousing,5.72265625,0.838124335,,7.617828208,Positive,B
3032_A_H,223D.jpg,Baseline Lure,Encoding,High Similarity,5.017822266,Positive,6.471915409,Somewhat arousing,5.441473599,0.625764847,7.429928627,7.130527471,Positive,A
3032_B_H,223E.jpg,Lure,Retrieval,High Similarity,5.017822266,Positive,6.471915409,Somewhat arousing,5.441473599,0.747072935,,7.130527471,Positive,A
3033_A_L,234A.jpg,Baseline Lure,Encoding,Low Similarity,4.569335938,Positive,6.253030711,Somewhat arousing,4.398572198,0.809331834,6.459533292,6.393164948,Positive,B
3033_B_L,234B.jpg,Lure,Retrieval,Low Similarity,4.569335938,Positive,6.253030711,Somewhat arousing,4.398572198,0.868253052,,6.393164948,Positive,B
3034_A_L,236A.jpg,Baseline Lure,Encoding,Low Similarity,4.005808863,Positive,6.208445582,Somewhat arousing,5.389614763,0.742522538,6.246155754,6.242050781,Positive,B
3034_B_L,236B.jpg,Lure,Retrieval,Low Similarity,4.005808863,Positive,6.208445582,Somewhat arousing,5.389614763,0.781009853,,6.242050781,Positive,B
3036_A_H,30004d.jpg,Baseline Lure,Encoding,High Similarity,4.899457358,Positive,6.458007813,Somewhat arousing,4.484026228,0.82869792,6.558134921,6.52817313,Positive,B
3036_B_H,30004f.jpg,Lure,Retrieval,High Similarity,4.899457358,Positive,6.458007813,Somewhat arousing,4.484026228,0.780858696,,6.52817313,Positive,B
3037_A_H,30006d.jpg,Baseline Lure,Encoding,High Similarity,5.476202829,Positive,7.240094866,Somewhat arousing,5.641545759,0.778924406,7.644239916,7.523695055,Positive,A
3037_B_H,30006f.jpg,Lure,Retrieval,High Similarity,5.476202829,Positive,7.240094866,Somewhat arousing,5.641545759,0.847158134,,7.523695055,Positive,A
3039_A_H,30013d.jpg,Baseline Lure,Encoding,High Similarity,5.155032672,Positive,6.609019012,Somewhat arousing,4.595624651,0.829501152,6.474920233,6.5126762,Positive,A
3039_B_H,30013f.jpg,Lure,Retrieval,High Similarity,5.155032672,Positive,6.609019012,Somewhat arousing,4.595624651,0.7631675,,6.5126762,Positive,A
3042_A_L,30018a.jpg,Baseline Lure,Encoding,Low Similarity,4.470493862,Positive,7.019095285,Somewhat arousing,4.827549526,0.760266006,7.469078453,7.333234478,Positive,B
3042_B_L,30018b.jpg,Lure,Retrieval,Low Similarity,4.470493862,Positive,7.019095285,Somewhat arousing,4.827549526,0.608227968,,7.333234478,Positive,B
3045_A_L,30022a.jpg,Baseline Lure,Encoding,Low Similarity,4.367558071,Positive,6.66066197,Somewhat arousing,4.522294427,0.787792563,7.075138889,6.949772691,Positive,A
3045_B_L,30022b.jpg,Lure,Retrieval,Low Similarity,4.367558071,Positive,6.66066197,Somewhat arousing,4.522294427,0.781508267,,6.949772691,Positive,A
3046_A_H,30023d.jpg,Baseline Lure,Encoding,High Similarity,5.316946847,Positive,7.252061132,Somewhat arousing,5.320591518,0.845187545,7.205277778,7.218959702,Positive,A
3046_B_H,30023f.jpg,Lure,Retrieval,High Similarity,5.316946847,Positive,7.252061132,Somewhat arousing,5.320591518,0.80253768,,7.218959702,Positive,A
3047_A_H,30024d.jpg,Baseline Lure,Encoding,High Similarity,5.16822597,Positive,7.557617188,Somewhat arousing,5.910948301,0.755364537,7.454251126,7.487301587,Positive,B
3047_B_H,30024e.jpg,Lure,Retrieval,High Similarity,5.16822597,Positive,7.557617188,Somewhat arousing,5.910948301,0.759469867,,7.487301587,Positive,B
